video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=Njug2t1zioM&pp=ygUMc2VhdHRsZSBuZXdz,/@SeahawksTV,Seahawks Today by Chat Sports,"ALERT: Mike Macdonald Hired As Next Seattle Seahawks Head Coach | Seahawks News, Reaction & Analysis",8.2K,14 hours,"Seattle Seahawks have hired Mike Macdonald as their next head coach, replacing Pete Carroll. The Seattle Seahawks coaching ...",2024-02-01 10:17:07.598399
/watch?v=cGAecmV2rc4&pp=ygUMc2VhdHRsZSBuZXdz,/@DinhCongNinh,Dinh Cong Ninh,ESPN SC | Adam Schefter [BREAKING NEWS] Seattle Seahawks hiring Ravens DC Mike Macdonald as coach,5.2K,14 hours,ESPN SC | Adam Schefter [BREAKING NEWS] Seattle Seahawks hiring Ravens DC Mike Macdonald as coach.,2024-02-01 10:17:07.605561
/watch?v=P86B_nK9IBk&pp=ygUMc2VhdHRsZSBuZXdz,/@fox13seattle,FOX 13 Seattle,"Mountains of snow, miles of delays: Unprepared drivers cause chaos",243K,2 weeks,Download the FOX 13 Seattle News App: https://q13fox.onelink.me/PeGO/7e4d2af8 Download the FOX 13 Seattle Weather App: ...,2024-02-01 10:17:15.360954
/watch?v=mSy8UmyPAxs&pp=ygUMc2VhdHRsZSBuZXdz,/@fox13seattle,FOX 13 Seattle,Community action group addresses sex work on Aurora Ave. | FOX 13 Seattle,25K,13 days,Download the FOX 13 Seattle News App: https://q13fox.onelink.me/PeGO/7e4d2af8 Download the FOX 13 Seattle Weather App: ...,2024-02-01 10:17:15.362784
/watch?v=Az_7gBoIRKk&pp=ygUMc2VhdHRsZSBuZXdz,/@komonews,KOMO News,'Prolific' tagger must spend 80 hours cleaning up graffiti in Seattle,33K,2 weeks,A graffiti tagger who was accused of causing hundreds of thousands of dollars in damage to public and private property in Seattle ...,2024-02-01 10:17:15.364209
/watch?v=MIojtXUciOE&pp=ygUMc2VhdHRsZSBuZXdz,/@KING5Seattle,KING 5 Seattle,Seattle police brass agree Officer Auderer acted unprofessionally,2.6K,2 days,The Seattle police officer who was heard joking and making insensitive comments about 23-year-old Jaahnavi Kandula's death in ...,2024-02-01 10:17:15.365583
/watch?v=m4rQ2QXooJk&pp=ygUMc2VhdHRsZSBuZXdz,/@TheHerdOnFS1,The Herd with Colin Cowherd,"Seahawks hire Mike Macdonald as HC, Is Kelce still an elite TE for the Chiefs? | NFL | THE HERD",73K,14 hours,The Seattle Seahawks have hired Baltimore Ravens DC Mike Macdonald as their next head coach. Colin Cowherd and Greg ...,2024-02-01 10:17:15.366939
/watch?v=1eX31TvgwyI&pp=ygUMc2VhdHRsZSBuZXdz,/@fox13seattle,FOX 13 Seattle,Edmonds rideshare murder suspect in court | FOX 13 Seattle,10K,2 weeks,Download the FOX 13 Seattle News App: https://q13fox.onelink.me/PeGO/7e4d2af8 Download the FOX 13 Seattle Weather App: ...,2024-02-01 10:17:15.368271
/watch?v=SgTiIJWlU1E&pp=ygUMc2VhdHRsZSBuZXdz,/@komonews,KOMO News,Who are the Kia Boys? | ARC Seattle,22K,8 days,"Welcome to ARC Seattle! The show that brings you authentic, relevant, community-centered content from around the Puget Sound ...",2024-02-01 10:17:15.370065
/watch?v=q3jxrpkwaww&pp=ygUMc2VhdHRsZSBuZXdz,/@fox13seattle,FOX 13 Seattle,Lawmaker proposes speed cams on state highways | FOX 13 Seattle,3.1K,2 days,Download the FOX 13 Seattle News App: https://q13fox.onelink.me/PeGO/7e4d2af8 Download the FOX 13 Seattle Weather App: ...,2024-02-01 10:17:15.374307
