video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=J1jeyM0FSxM&pp=ygUHdXMgbmV3cw%3D%3D,/@CBSEveningNews,CBS Evening News,3 American troops killed in drone attack on base in Jordan,52K,3 days,"Three American troops were killed and dozens more were injured in a drone attack on a base in Jordan, U.S. officials said Sunday ...",2024-02-01 10:22:38.066634
/watch?v=M3H0Q_0XqOg&pp=ygUHdXMgbmV3cw%3D%3D,/@TODAY,TODAY,US forces on high alert amid fears of Israel-Hamas war widening,15K,9 days,New attacks by Iranian-backed militias have the U.S. vowing retaliation as war threatens to engulf more of the regions. Israel's ...,2024-02-01 10:22:38.070118
/watch?v=9ur2uDvYVZ0&pp=ygUHdXMgbmV3cw%3D%3D,/@TODAY,TODAY,"US identifies 3 troops killed in drone attack, Biden weighs response",12K,1 day,The three Americans who were killed in a deadly drone attack on a U.S. military base in Jordan have now been identified and the ...,2024-02-01 10:22:38.073301
/watch?v=mEwzg1PbqQw&pp=ygUHdXMgbmV3cw%3D%3D,/@NBCNews,NBC News,Attack on U.S. military base in Iraq raises concerns of wider conflict in region,807K,11 days,A new attack on a United States military base in Iraq is raising concerns about a wider conflict in the Middle East. NBC News' Raf ...,2024-02-01 10:22:38.077432
/watch?v=fcp76lPPXBc&pp=ygUHdXMgbmV3cw%3D%3D,/@ForbesBreakingNews,Forbes Breaking News,Pentagon Asked Point Blank: Is US Base Attack 'An Act Of War By Iran?',24K,2 days,Pentagon Deputy Press Secretary Sabrina Singh was asked whether the recent attack on US troops by Iran-backed proxies ...,2024-02-01 10:22:38.080675
/watch?v=R7Ri_qxrXkk&pp=ygUHdXMgbmV3cw%3D%3D,/@ABCNews,ABC News,"ABC World News Tonight Full Broadcast - Jan. 28, 2024",449K,3 days,Selina Wang has new details on the killing of three American service personnel by Iranian-backed militants in a drone strike - the ...,2024-02-01 10:22:46.482779
/watch?v=EdCXSYaDhmM&pp=ygUHdXMgbmV3cw%3D%3D,/@FoxBusiness,Fox Business,Retired four-star general: ‘The war is already here’,321K,20 hours,FOX News senior strategic analyst Ret. Gen. Jack Keane says President Biden isn't using defense 'fundamentals' and has lost ...,2024-02-01 10:22:46.495659
/watch?v=nqat-LlXsmc&pp=ygUHdXMgbmV3cw%3D%3D,/@WashingtonPost,Washington Post,"Massive protests in Yemen after U.S., British strikes",314K,2 weeks,Drone video showed massive protests in Yemen on Jan. 12 after a U.S.-led military coalition struck Houthi militants. Read more: ...,2024-02-01 10:22:46.498345
/watch?v=0RMRp6tk3ic&pp=ygUHdXMgbmV3cw%3D%3D,/@ABCNews,ABC News,Pressure to respond mounts after US service members killed in Jordan drone attack,68K,2 days,The attack marked the first deaths of U.S. troops since the start of the Israel-Hamas war. Deputy Pentagon press secretary Sabrina ...,2024-02-01 10:22:46.501403
/watch?v=VcHk3f_v2BM&pp=ygUHdXMgbmV3cw%3D%3D,/@ABCNews,ABC News,200 million Americans on alert as Arctic blast moves through U.S.,45K,2 weeks,"From Louisiana to the Northeast, 23 states are on alert as a winter storm unleashed brutal temperatures, snow and ice throughout ...",2024-02-01 10:22:46.503989
/watch?v=vJvyw_pxGRc&pp=ygUHdXMgbmV3cw%3D%3D,/@CNN,CNN,"Houthi ballistic missile strikes US-owned and operated vessel, US military says",2M,2 weeks,"A Houthi anti-ship ballistic missile struck a US-owned and operated vessel, US Central Command said in a statement. The M/V ...",2024-02-01 10:22:46.511880
/watch?v=li9XoRPsCHw&pp=ygUHdXMgbmV3cw%3D%3D,/@msnbc,MSNBC,'Dangerous escalation': Fmr. CIA chief on death of three U.S. soldiers in drone attack,159K,3 days,"MSNBC delivers breaking news, in-depth analysis of politics headlines, as well as commentary and informed perspectives.",2024-02-01 10:22:46.514901
/shorts/dClclsxcKgw,/@VICENews,VICE News,First Inmates Arrive at ‘Biggest Mega-Prison’ in the Americas #shorts,6.6M,10 months,2000 suspected gang members have been moved to a new “mega prison” in El Salvador. Help keep VICE News' fearless ...,2024-02-01 10:22:46.519746
/watch?v=QBJYAPFwdo0&pp=ygUHdXMgbmV3cw%3D%3D,/@cnnnews18,CNN-News18,"US News | US Battles Record-Breaking Cold, 37 Lives Lost As Severe Winter Storm Hit Nation | N18V",21K,13 days,"US News | US Battles Record-Breaking Cold, 37 Lives Lost As Severe Winter Storm Hit Nation | N18V A series of severe winter ...",2024-02-01 10:22:46.522690
/watch?v=oMr5JjEOzkY&pp=ygUHdXMgbmV3cw%3D%3D,/@CNBC,CNBC,Why The U.S. Can’t End Poverty,2.2M,10 months,"37.9 million Americans are currently living in poverty, accounting for 11.6% of the total population. That's despite the fact that ...",2024-02-01 10:22:46.526604
/watch?v=TH-2Ae5E1zE&pp=ygUHdXMgbmV3cw%3D%3D,/@NBCNews,NBC News,FBI Director Christopher Wray warns of alarming hacking threat from China,31K,9 hours,FBI Director Christopher Wray told a House committee that hackers in China are focusing on American infrastructure and ...,2024-02-01 10:22:46.530431
/watch?v=Za9fXOIgv-0&pp=ygUHdXMgbmV3cw%3D%3D,/@CBSMornings,CBS Mornings,Republican governors rally behind Texas in border showdown after Supreme Court ruling,261K,4 days,"Texas is doubling down on the U.S.-Mexico border, refusing to remove razor wire that would allow Border Patrol into a public park ...",2024-02-01 10:22:46.534122
/shorts/0qskWLTtP0Y,/@NBCNews,NBC News,#Passenger opens #plane door during #flight,19M,8 months,"An airplane passenger opened an emergency exit door shortly before the plane landed in #SouthKorea, causing air to blast ...",2024-02-01 10:22:46.538329
/shorts/Ptp7LYqHRo8,/@CNN,CNN,Cat jumps on sheikh leading prayer. See his reaction,2.5M,9 months,"Sheikh Walid Mehsas was leading a prayer in Algeria when a surprise guest appeared, according to Reuters. #CNN #News ...",2024-02-01 10:22:46.541494
/watch?v=BdpG2eUQRvs&pp=ygUHdXMgbmV3cw%3D%3D,/@NBCNews,NBC News,U.S. launches new strikes against Iran-backed militia,91K,12 days,"The United States launched new pre-emptive strikes against the Houthis inside Yemen, while President Joe Biden held his first ...",2024-02-01 10:22:46.544532
/watch?v=LlgZAMMc2KU&pp=ygUHdXMgbmV3cw%3D%3D,/@CBSEveningNews,CBS Evening News,Inside a U.S. Navy base protecting the Red Sea,50K,2 days,Troops stationed at a U.S. Navy base in Bahrain are tasked with protecting American assets and interests in the waters of the ...,2024-02-01 10:22:46.547576
/watch?v=B2jLyixVuf8&pp=ygUHdXMgbmV3cw%3D%3D,/@cnnnews18,CNN-News18,U.S. News |  U.S State Secy Antony Blinken Calls Out Violence In Middle Eastern Regions | N18V,3.6K,3 weeks,U.S. News | U.S State Secy Antony Blinken Calls Out Violence In Middle Eastern Regions | N18V Washington's top diplomat ...,2024-02-01 10:22:46.550475
/watch?v=qhPHHFWY-TI&pp=ygUHdXMgbmV3cw%3D%3D,/@CBSMornings,CBS Mornings,U.S. troops targeted in deadly drone strike in Jordan,39K,2 days,A drone attack on an American military base in Jordan leaves three U.S. service members dead and dozens injured. Ed O'Keefe ...,2024-02-01 10:22:46.553527
/watch?v=dy4PJqz_4lY&pp=ygUHdXMgbmV3cw%3D%3D,/@CBSEveningNews,CBS Evening News,U.S. strikes Iranian-backed militias in Iraq,182K,8 days,"The U.S. launched strikes against three facilities used by Iranian-backed militias in Iraq, U.S. officials said Tuesday. The strikes ...",2024-02-01 10:22:46.556587
/watch?v=gzf8cwjFZfo&pp=ygUHdXMgbmV3cw%3D%3D,/@CBSNews,CBS News,"Second winter storm to bring snow, flash flooding across U.S.",331K,3 weeks,Much of the U.S. is bracing for a second round of severe winter weather. CBS Boston reporter Chris Tanaka has more on how ...,2024-02-01 10:22:46.559947
